condition,field_samples_max,field_samples_median,field_samples_min,field_samples_q1,field_samples_q3,method,peak_rss_mb_max,peak_rss_mb_median,peak_rss_mb_min,peak_rss_mb_q1,peak_rss_mb_q3,repetitions,runtime_seconds_max,runtime_seconds_median,runtime_seconds_min,runtime_seconds_q1,runtime_seconds_q3,steps_max,steps_median,steps_min,steps_q1,steps_q3,time_per_step_ms_max,time_per_step_ms_median,time_per_step_ms_min,time_per_step_ms_q1,time_per_step_ms_q3
fd_nf2,0.0,0.0,0.0,0.0,0.0,FD Nf=2,151.72265625,151.4609375,151.28515625,151.3125,151.47265625,5,9.426357948999794,9.28041334000045,9.240111670999795,9.279499535000468,9.327225208000527,14007.0,14007.0,14007.0,14007.0,14007.0,0.6729747946740767,0.6625553894481653,0.6596781374312697,0.6624901502820353,0.6658974232883935
td_every,14008.0,14008.0,14008.0,14008.0,14008.0,TD every-step,942.87109375,942.79296875,942.49609375,942.5234375,942.80859375,5,17.131758143999832,17.021435638000185,16.94814239199968,16.988438493000103,17.113739870000245,14007.0,14007.0,14007.0,14007.0,14007.0,1.2230854675519263,1.2152092266723913,1.2099766111229873,1.212853465624338,1.2217990911687189
td_nyquist,584.0,584.0,584.0,584.0,584.0,TD Nyquist,171.04296875,170.96875,170.37890625,170.7265625,171.02734375,5,9.923177652999584,9.826335777999702,9.71512581800016,9.8148312659996,9.845444442000371,14007.0,14007.0,14007.0,14007.0,14007.0,0.7084441816948371,0.7015303618190691,0.6935907630470594,0.7007090216320125,0.7028945842793154
mean_of_three_medians,,,,,,Mean of three medians,,,,,,15,,12.042728252000112,,,,,,,,,,,,,
