sampling_interval,adjoint_directional_derivative,central_fd_directional_derivative,relative_directional_error,signed_ratio_adjoint_over_fd
1,0.04921397704018253,0.049702626475017775,0.009831461021096274,0.9901685389789038
2,0.04936406763247048,0.049702626475017775,0.006811689171345154,0.9931883108286549
4,0.04908830026841597,0.049702626475017775,0.0123600350760253,0.9876399649239747
8,0.046307618752538963,0.049702626475017775,0.06830640477692376,0.9316935952230763
12,0.04608429187775187,0.049702626475017775,0.07279966581010767,0.9272003341898923
16,0.042070106756317796,0.049702626475017775,0.15356371000909463,0.8464362899909054
20,0.039047299132726636,0.049702626475017775,0.21438157493843646,0.7856184250615635
24,0.028284555948238522,0.049702626475017775,0.430924320217659,0.5690756797823411
