adjoint_field_samples_max,adjoint_field_samples_median,adjoint_field_samples_min,adjoint_field_samples_q1,adjoint_field_samples_q3,adjoint_s_max,adjoint_s_median,adjoint_s_min,adjoint_s_q1,adjoint_s_q3,adjoint_steps_max,adjoint_steps_median,adjoint_steps_min,adjoint_steps_q1,adjoint_steps_q3,cap_hits,cpu_affinity,decay_by,eval_total_s_max,eval_total_s_median,eval_total_s_min,eval_total_s_q1,eval_total_s_q3,forward_field_samples_max,forward_field_samples_median,forward_field_samples_min,forward_field_samples_q1,forward_field_samples_q3,forward_s_max,forward_s_median,forward_s_min,forward_s_q1,forward_s_q3,forward_steps_max,forward_steps_median,forward_steps_min,forward_steps_q1,forward_steps_q3,grad_norm_max,grad_norm_median,grad_norm_min,grad_norm_q1,grad_norm_q3,iteration_total_s_max,iteration_total_s_median,iteration_total_s_min,iteration_total_s_q1,iteration_total_s_q3,maximum_run_time,maxrss_mb_max,maxrss_mb_median,maxrss_mb_min,maxrss_mb_q1,maxrss_mb_q3,method,minimum_run_time,repetitions,sampling_interval,termination,valid_repetitions
13501.0,13501.0,13501.0,13501.0,13501.0,17.30568002200016,16.945861067999886,16.83061886700034,16.925577911000346,16.975215708000178,13501.0,13501.0,13501.0,13501.0,13501.0,0,8,0.0,33.507684202999826,33.01669160000074,32.96291221100046,32.99869584599992,33.0410006369998,13501.0,13501.0,13501.0,13501.0,13501.0,16.202004180999666,16.09513956899991,16.02348013799974,16.091113689000395,16.132293344000118,13501.0,13501.0,13501.0,13501.0,13501.0,0.04921380379193007,0.04921380379193007,0.04921380379193007,0.04921380379193007,0.04921380379193007,33.91234138400023,33.41080929100008,33.35648625900012,33.393550312000116,33.4407552990001,67.5,1668.8359375,1668.48046875,1668.0234375,1668.27734375,1668.73046875,every_step,67.5,5,1,fixed,5
14008.0,14008.0,14008.0,14008.0,14008.0,17.939679690000048,17.648708698000064,17.33453442300015,17.452527654000278,17.84253395299993,14008.0,14008.0,14008.0,14008.0,14008.0,0,8,0.0001,34.912928115999875,34.382641576000424,33.868380692999835,34.318765328000154,34.84653159200025,14008.0,14008.0,14008.0,14008.0,14008.0,17.070394162999946,16.9068519020002,16.533846269999685,16.67005663000009,16.930113922000146,14008.0,14008.0,14008.0,14008.0,14008.0,0.04921397704018253,0.04921397704018253,0.04921397704018253,0.04921397704018253,0.04921397704018253,35.32512348499995,34.78591684899993,34.28424448700025,34.72887303200014,35.25860040999987,2000.0,1726.61328125,1726.484375,1726.17578125,1726.421875,1726.515625,every_step,67.5,5,1,moderate,5
563.0,563.0,563.0,563.0,563.0,10.146237099000246,10.014954411999952,9.910026594999636,9.939318308999646,10.02733418600019,13501.0,13501.0,13501.0,13501.0,13501.0,0,8,0.0,19.45280392399991,19.391131216000304,19.251995819999593,19.267672033999588,19.40009988299971,563.0,563.0,563.0,563.0,563.0,9.460781574000066,9.357645438999953,9.23704140799964,9.306566824999663,9.363797030000114,13501.0,13501.0,13501.0,13501.0,13501.0,0.03959545239815834,0.03959545239815834,0.03959545239815834,0.03959545239815834,0.03959545239815834,19.52965648600002,19.464914330000283,19.32344451200015,19.341665022000143,19.473198538999895,67.5,183.76171875,183.546875,182.86328125,183.5234375,183.6171875,nyquist_sampling,67.5,5,24,fixed,5
584.0,584.0,584.0,584.0,584.0,10.537559203,10.388479361999998,10.22127383499992,10.379556832000162,10.406921855999826,14008.0,14008.0,14008.0,14008.0,14008.0,0,8,0.0001,20.41569815799994,20.179712298999675,19.877721460999965,19.98685347000037,20.18095617400013,584.0,584.0,584.0,584.0,584.0,9.87813895499994,9.772790442999849,9.607296638000207,9.656447626000045,9.792476812000132,14008.0,14008.0,14008.0,14008.0,14008.0,0.04014308905531952,0.04014308905531952,0.04014308905531952,0.04014308905531952,0.04014308905531952,20.500551406999875,20.26297912400014,19.951321629000176,20.058029799999986,20.271600713000225,2000.0,186.203125,186.10546875,185.57421875,185.9453125,186.13671875,nyquist_sampling,67.5,5,24,moderate,5
